Player,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,K,D,A,FK,FD,DPR,ADRa,SR
Munchkin,0.96,211.7,0.93,0.64,139.7,0.7,0.22,0.12,0.12,24.0,8.0,90,97,29,16,15,0.752,42.026,0.248
stax,0.95,175.9,0.92,0.68,111.3,0.64,0.36,0.05,0.07,33.0,17.0,182,198,101,14,21,0.7,21.265,0.3
xeta,0.95,187.7,0.94,0.71,120.7,0.64,0.26,0.05,0.1,24.0,19.0,82,87,34,7,13,0.674,31.708,0.326
Smoggy,0.94,201.0,0.98,0.69,134.8,0.73,0.22,0.09,0.09,30.0,8.0,261,265,77,34,34,0.74,32.733,0.26
Zyppan,0.93,198.3,0.88,0.69,138.0,0.67,0.29,0.11,0.14,27.0,15.0,136,154,59,22,29,0.755,44.667,0.245
Boostio,0.93,187.7,0.87,0.7,128.7,0.63,0.26,0.11,0.11,23.0,10.0,291,335,119,51,52,0.73,39.942,0.27
FiNESSE,0.91,181.4,0.72,0.74,122.5,0.52,0.41,0.1,0.1,16.0,10.0,67,93,53,10,10,0.715,50.346,0.285
Biank,0.9,188.5,0.89,0.71,128.5,0.65,0.36,0.07,0.09,22.0,16.0,155,174,85,16,21,0.734,36.939,0.266
Knight,0.9,188.8,0.91,0.7,123.1,0.66,0.32,0.06,0.13,28.0,13.0,157,172,76,14,30,0.726,30.357,0.274
Haodong,0.89,168.4,0.83,0.74,107.1,0.59,0.47,0.05,0.09,30.0,18.0,212,254,167,19,33,0.709,24.195,0.291
Rb,0.89,162.8,0.85,0.65,113.5,0.58,0.16,0.08,0.08,23.0,21.0,163,191,45,23,24,0.675,32.864,0.325
nukkye,0.89,185.7,0.88,0.65,131.2,0.65,0.19,0.06,0.06,21.0,6.0,105,119,31,10,10,0.739,39.896,0.261
qw1,0.88,190.6,0.93,0.64,123.2,0.7,0.08,0.16,0.17,28.0,12.0,151,163,18,35,37,0.755,25.33,0.245
ban,0.85,176.3,0.82,0.66,109.9,0.62,0.33,0.05,0.12,33.0,11.0,80,98,43,6,16,0.76,23.078,0.24
ANGE1,0.84,176.8,0.75,0.7,117.7,0.59,0.44,0.1,0.14,26.0,18.0,120,161,89,21,29,0.789,35.347,0.211
rin,0.82,144.9,0.73,0.66,91.9,0.51,0.34,0.05,0.07,23.0,8.0,122,167,81,12,17,0.705,19.832,0.295
soulcas,0.82,134.8,0.76,0.65,81.7,0.48,0.27,0.04,0.03,39.0,6.0,44,58,25,4,3,0.63,14.743,0.37
nizhaoTZH,0.76,137.3,0.71,0.66,95.2,0.49,0.27,0.06,0.07,37.0,6.0,42,59,23,5,6,0.694,26.024,0.306
Jamppi,0.72,162.5,0.85,0.55,108.4,0.61,0.07,0.13,0.2,21.0,27.0,56,66,6,12,18,0.717,23.183,0.283
Carpe,0.72,149.8,0.68,0.6,99.1,0.54,0.25,0.04,0.12,26.0,33.0,70,103,32,5,16,0.798,23.131,0.202
Laz,0.66,143.7,0.8,0.51,84.8,0.61,0.14,0.06,0.22,26.0,7.0,48,60,11,3,11,0.759,-0.263,0.241
