Player,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,K,D,A,FK,FD,DPR,ADRa,SR
Melser,0.97,183.9,0.93,0.73,119.9,0.65,0.33,0.08,0.09,30.0,12.0,592,636,300,72,82,0.696,29.222,0.304
TenZ,0.97,203.1,0.97,0.68,132.7,0.71,0.29,0.14,0.17,21.0,18.0,323,334,134,65,78,0.729,33.966,0.271
Dep,0.97,221.5,1.02,0.68,143.0,0.79,0.15,0.16,0.16,24.0,12.0,559,546,110,106,107,0.768,32.93,0.232
nobody,0.97,198.4,1.0,0.73,130.8,0.71,0.33,0.08,0.11,28.0,19.0,708,710,330,62,87,0.709,31.878,0.291
fl1pzjder,0.97,183.7,0.83,0.72,118.1,0.61,0.48,0.09,0.1,26.0,14.0,342,412,268,49,57,0.733,32.904,0.267
saadhak,0.97,190.0,0.87,0.72,124.7,0.61,0.41,0.11,0.14,19.0,14.0,916,1053,613,164,206,0.7,39.434,0.3
qRaxs,0.97,193.3,0.93,0.74,126.9,0.67,0.43,0.06,0.07,29.0,13.0,653,704,413,62,68,0.727,32.555,0.273
Mazino,0.97,192.5,0.95,0.71,122.7,0.67,0.38,0.1,0.1,25.0,12.0,617,651,349,90,87,0.711,28.296,0.289
Zest,0.96,178.6,0.94,0.71,116.5,0.64,0.31,0.06,0.09,32.0,18.0,641,685,315,62,88,0.681,27.295,0.319
MOJJ,0.96,191.7,0.97,0.69,129.3,0.67,0.21,0.09,0.09,27.0,18.0,654,675,204,88,85,0.697,34.811,0.303
DubsteP,0.96,197.6,0.99,0.68,133.6,0.7,0.15,0.13,0.15,27.0,16.0,548,554,115,103,113,0.711,35.115,0.289
Lmemore,0.96,209.7,1.0,0.68,140.3,0.74,0.17,0.12,0.12,33.0,8.0,415,414,98,69,69,0.737,36.919,0.263
RgLMeister,0.96,187.7,0.91,0.72,126.1,0.66,0.39,0.05,0.05,22.0,16.0,290,318,170,20,20,0.721,34.037,0.279
stax,0.95,177.6,0.87,0.71,114.3,0.62,0.42,0.05,0.08,29.0,14.0,879,1005,606,74,115,0.704,28.063,0.296
Marved,0.95,183.0,0.89,0.71,123.6,0.65,0.33,0.1,0.12,29.0,17.0,269,301,137,41,51,0.731,32.192,0.269
Sacy,0.95,192.4,0.94,0.7,127.6,0.68,0.35,0.08,0.08,31.0,10.0,427,453,223,49,51,0.717,33.011,0.283
Derrek,0.95,184.3,0.88,0.73,128.0,0.62,0.35,0.07,0.07,29.0,8.0,430,488,242,46,46,0.704,41.131,0.296
Jremy,0.94,209.2,0.93,0.69,137.5,0.7,0.23,0.14,0.15,19.0,14.0,545,589,178,108,115,0.756,39.554,0.244
TS,0.94,183.3,0.91,0.72,116.7,0.64,0.42,0.08,0.09,21.0,7.0,480,527,318,57,70,0.704,26.98,0.296
sh1n,0.94,180.1,0.91,0.7,115.4,0.63,0.32,0.08,0.06,29.0,16.0,363,401,184,45,37,0.699,26.863,0.301
Haodong,0.94,175.5,0.93,0.76,112.5,0.62,0.4,0.07,0.09,28.0,16.0,620,665,403,55,70,0.664,25.873,0.336
starxo,0.94,182.7,0.89,0.72,120.1,0.65,0.41,0.07,0.09,21.0,10.0,381,427,237,39,51,0.73,28.921,0.27
JitBoyS,0.94,187.8,0.93,0.7,123.6,0.68,0.29,0.07,0.1,30.0,12.0,347,373,149,34,51,0.726,29.086,0.274
pANcada,0.94,175.2,0.94,0.69,120.8,0.61,0.2,0.04,0.07,25.0,12.0,386,409,124,26,42,0.647,35.294,0.353
GodDead,0.93,171.6,0.8,0.71,110.7,0.57,0.48,0.06,0.1,19.0,14.0,397,498,338,44,68,0.71,31.413,0.29
NagZ,0.93,167.9,0.87,0.69,115.2,0.57,0.25,0.08,0.06,21.0,14.0,495,566,212,65,55,0.654,35.084,0.346
Crws,0.93,187.6,0.87,0.7,124.3,0.63,0.39,0.08,0.09,23.0,14.0,336,385,206,43,46,0.72,36.375,0.28
Tacolilla,0.93,195.8,0.94,0.68,125.7,0.67,0.18,0.18,0.19,18.0,15.0,612,650,167,164,170,0.71,32.061,0.29
EJAY,0.93,204.0,0.96,0.69,134.9,0.72,0.17,0.14,0.18,20.0,11.0,388,406,94,78,95,0.755,33.933,0.245
Carpe,0.93,174.1,0.84,0.72,110.8,0.6,0.43,0.05,0.08,24.0,17.0,580,689,415,52,72,0.718,26.217,0.282
Anthem,0.93,184.1,0.88,0.73,125.1,0.62,0.34,0.05,0.1,27.0,16.0,255,290,138,21,41,0.707,38.027,0.293
frz,0.92,194.0,0.9,0.71,135.9,0.66,0.24,0.1,0.08,32.0,7.0,290,322,108,43,36,0.73,43.837,0.27
JessieVash,0.92,177.5,0.87,0.69,119.6,0.61,0.32,0.07,0.08,24.0,16.0,473,546,249,54,65,0.701,34.594,0.299
MOLSI,0.92,182.6,0.87,0.68,122.7,0.64,0.34,0.07,0.07,23.0,7.0,266,305,142,28,31,0.731,33.395,0.269
Quick,0.91,178.5,0.89,0.66,121.4,0.62,0.23,0.06,0.09,27.0,15.0,424,474,157,43,64,0.696,34.234,0.304
soulcas,0.91,161.3,0.85,0.72,104.7,0.57,0.35,0.05,0.07,34.0,7.0,566,663,342,52,66,0.67,24.66,0.33
Mazin,0.91,167.8,0.88,0.7,108.8,0.6,0.33,0.06,0.1,28.0,16.0,409,464,228,44,66,0.681,24.718,0.319
stellar,0.91,180.0,0.91,0.7,120.7,0.63,0.24,0.07,0.09,20.0,6.0,435,479,163,48,62,0.691,32.821,0.309
Klaus,0.9,177.9,0.84,0.72,110.7,0.62,0.41,0.08,0.09,21.0,10.0,540,641,360,74,75,0.734,24.102,0.266
Biank,0.9,193.2,1.02,0.71,128.5,0.71,0.33,0.07,0.09,22.0,16.0,418,409,195,16,21,0.699,28.466,0.301
Knight,0.9,182.7,0.86,0.7,123.1,0.63,0.3,0.06,0.13,28.0,13.0,370,428,177,14,30,0.732,34.553,0.268
FiNESSE,0.9,171.6,0.8,0.7,116.7,0.56,0.34,0.08,0.09,18.0,13.0,763,949,453,102,115,0.702,37.633,0.298
