Player,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,K,D,A,FK,FD,DPR
kongared,0.87,157.0,0.84,0.69,104.1,0.58,0.25,0.05,0.08,35.0,26.0,224,268,95,21,29,0.696
alvin,0.87,211.1,0.94,0.68,138.6,0.76,0.13,0.11,0.19,32.0,13.0,274,291,46,38,68,0.808
wPanda,0.86,167.6,0.8,0.67,111.6,0.59,0.35,0.05,0.07,30.0,11.0,265,331,157,22,31,0.74
CHICHOO,0.86,186.9,1.0,0.65,120.0,0.66,0.22,0.09,0.11,27.0,4.0,301,300,102,13,16,0.656
ion2x,0.86,209.5,0.92,0.65,136.1,0.75,0.15,0.13,0.18,30.0,8.0,366,400,76,63,87,0.815
Calvrix,0.86,169.1,0.82,0.59,117.3,0.62,0.2,0.05,0.06,28.0,5.0,144,175,47,12,13,0.748
hellff,0.86,155.8,0.74,0.66,105.3,0.55,0.42,0.06,0.08,25.0,4.0,168,227,128,17,26,0.742
Ponder,0.86,199.3,0.87,0.66,135.5,0.68,0.17,0.11,0.09,34.0,10.0,305,352,78,48,41,0.787
Rexgator,0.86,171.8,0.73,0.7,108.0,0.57,0.39,0.06,0.07,21.0,15.0,141,193,97,16,18,0.775
bearkun,0.85,164.5,0.77,0.7,107.6,0.57,0.35,0.06,0.07,19.0,14.0,214,279,133,21,25,0.738
Nahsie,0.84,168.5,0.79,0.71,110.7,0.58,0.38,0.03,0.08,28.0,17.0,188,238,123,9,26,0.735
PIGGY,0.84,174.9,0.78,0.71,112.0,0.59,0.37,0.09,0.11,24.0,8.0,265,341,166,40,51,0.763
Bobovo,0.84,156.5,0.75,0.68,105.9,0.54,0.33,0.11,0.08,25.0,7.0,126,168,77,26,19,0.715
STAVINCI,0.84,158.1,0.75,0.66,103.2,0.57,0.48,0.06,0.11,39.0,22.0,119,158,101,13,22,0.756
howlsv,0.84,179.6,0.78,0.68,116.4,0.61,0.36,0.09,0.12,27.0,19.0,125,160,74,18,25,0.777
Town,0.83,173.9,0.77,0.71,117.6,0.61,0.38,0.08,0.15,28.0,26.0,140,183,86,18,34,0.799
tsack,0.83,156.6,0.75,0.65,107.2,0.55,0.17,0.06,0.06,25.0,17.0,141,189,44,16,15,0.735
Lazee,0.83,168.0,0.75,0.66,111.3,0.56,0.37,0.06,0.1,25.0,8.0,122,163,80,13,21,0.751
MERZ,0.83,161.5,0.75,0.65,105.3,0.55,0.31,0.06,0.11,24.0,16.0,240,318,136,27,47,0.724
