Player,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,K,D,A,FK,FD,DPR
nAts,1.08,215.1,1.16,0.71,141.8,0.76,0.14,0.09,0.08,27.0,10.0,154,133,29,19,16,0.655
Keiko,1.07,215.5,1.09,0.72,138.1,0.76,0.16,0.17,0.2,27.0,21.0,155,142,32,34,40,0.7
Logan,1.07,224.9,1.1,0.71,143.3,0.77,0.2,0.18,0.17,21.0,11.0,511,465,130,122,113,0.7
nocz,1.07,196.7,1.09,0.77,130.4,0.7,0.48,0.07,0.07,33.0,24.0,150,137,103,14,16,0.64
blowz1n,1.07,198.4,1.05,0.75,129.0,0.71,0.43,0.09,0.07,33.0,32.0,153,146,92,19,16,0.682
Noia,1.07,199.1,1.17,0.73,128.9,0.74,0.15,0.09,0.08,30.0,7.0,166,142,34,20,17,0.631
Kohliii,1.07,207.7,0.99,0.75,133.7,0.69,0.51,0.09,0.07,25.0,8.0,144,145,107,19,15,0.694
jcrueL,1.07,220.9,1.09,0.68,142.6,0.77,0.32,0.08,0.07,23.0,13.0,210,192,87,21,18,0.701
Leviathan,1.07,202.2,1.09,0.72,131.2,0.74,0.34,0.08,0.09,33.0,13.0,382,350,177,42,47,0.681
johnqt,1.07,191.7,1.05,0.72,128.8,0.69,0.26,0.08,0.05,29.0,18.0,163,155,61,18,11,0.657
Truth,1.07,195.3,1.04,0.74,136.2,0.68,0.36,0.07,0.05,32.0,18.0,282,272,150,31,21,0.657
mada,1.07,235.3,1.06,0.66,149.8,0.77,0.18,0.2,0.23,20.0,17.0,172,162,40,44,51,0.73
Ange,1.07,210.3,1.11,0.72,135.3,0.72,0.28,0.11,0.09,24.0,12.0,288,259,113,44,37,0.646
Bizerra,1.07,205.5,1.07,0.7,137.0,0.72,0.3,0.12,0.07,26.0,26.0,254,237,104,43,24,0.675
zero cap,1.06,194.9,1.05,0.78,129.4,0.68,0.35,0.07,0.06,29.0,10.0,195,185,101,21,18,0.647
xuss,1.06,232.8,1.15,0.66,154.5,0.84,0.1,0.19,0.16,30.0,11.0,234,203,27,53,46,0.725
Turko,1.06,175.5,1.13,0.72,117.7,0.64,0.18,0.1,0.07,25.0,23.0,138,122,39,21,15,0.565
Teague,1.06,204.2,0.97,0.75,125.6,0.68,0.45,0.13,0.1,20.0,7.0,503,517,334,92,77,0.703
mdg,1.06,224.9,1.14,0.71,154.0,0.79,0.21,0.1,0.1,26.0,14.0,199,175,54,25,25,0.694
d1srupt,1.06,222.9,1.12,0.66,145.2,0.83,0.12,0.17,0.17,32.0,7.0,253,226,36,53,52,0.739
grubinho,1.06,206.3,1.04,0.72,131.3,0.72,0.36,0.1,0.07,33.0,15.0,198,191,100,28,18,0.692
L4CE,1.06,204.4,1.04,0.74,135.1,0.72,0.38,0.07,0.05,28.0,11.0,569,548,302,53,43,0.695
Techno,1.05,194.9,1.01,0.75,127.1,0.71,0.41,0.08,0.08,28.0,15.0,216,214,125,24,25,0.699
kev,1.05,225.8,1.02,0.71,143.8,0.79,0.33,0.12,0.09,24.0,4.0,267,262,111,39,32,0.775
qw1,1.05,215.7,1.16,0.68,137.8,0.79,0.11,0.13,0.11,30.0,5.0,171,148,23,27,23,0.685
JohnOlsen,1.05,230.9,1.11,0.71,152.9,0.81,0.16,0.16,0.15,28.0,14.0,414,374,83,83,76,0.728
ray4c,1.05,269.5,1.26,0.77,163.1,0.94,0.2,0.17,0.16,11.0,7.0,197,156,41,36,34,0.746
ALIVE,1.05,217.5,1.1,0.71,136.5,0.77,0.13,0.19,0.17,23.0,28.0,284,258,47,68,63,0.703
Famsii,1.05,243.9,1.12,0.67,158.6,0.87,0.13,0.16,0.16,33.0,14.0,239,214,35,43,45,0.775
monSi,1.05,193.9,1.03,0.75,127.3,0.68,0.31,0.08,0.08,28.0,15.0,499,483,226,57,60,0.657
ralle,1.05,211.8,1.1,0.71,143.0,0.81,0.35,0.08,0.06,40.0,17.0,220,200,95,22,17,0.735
thief,1.05,194.7,1.11,0.77,131.8,0.72,0.39,0.06,0.03,25.0,16.0,159,143,86,14,7,0.644
