Player,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,K,D,A,FK,FD,DPR
xand,1.03,238.4,1.11,0.72,146.1,0.83,0.2,0.18,0.13,22.0,11.0,3806,3423,909,806,592,0.746
Victor,1.03,220.8,1.05,0.72,140.9,0.74,0.29,0.14,0.13,22.0,20.0,5391,5127,2064,980,881,0.708
Marved,1.03,205.5,1.02,0.72,133.0,0.73,0.29,0.1,0.1,30.0,18.0,4265,4175,1677,574,565,0.712
prince,1.03,202.6,1.03,0.71,135.0,0.72,0.27,0.09,0.09,25.0,13.0,1832,1783,678,230,217,0.704
dizzyLife,1.03,215.6,1.1,0.7,134.6,0.75,0.23,0.13,0.12,17.0,16.0,3070,2801,965,534,486,0.681
7ssk7,1.03,211.8,1.06,0.69,138.4,0.76,0.18,0.16,0.15,26.0,14.0,3262,3083,752,675,537,0.72
valyn,1.03,204.4,1.01,0.75,130.8,0.71,0.34,0.09,0.08,23.0,16.0,4332,4272,2054,549,505,0.703
ScrewFace,1.03,227.1,1.06,0.68,143.9,0.79,0.2,0.16,0.14,19.0,15.0,5509,5206,1378,1145,1008,0.745
Shyy,1.03,194.6,1.03,0.72,127.9,0.68,0.3,0.08,0.07,23.0,13.0,1363,1329,593,156,135,0.666
pwny,1.03,209.6,1.08,0.71,133.4,0.75,0.22,0.13,0.11,24.0,18.0,3455,3202,1009,606,503,0.697
jwordn,1.03,206.5,1.01,0.73,135.3,0.72,0.36,0.11,0.11,28.0,14.0,1983,1971,1002,293,295,0.713
thief,1.03,215.1,1.04,0.72,139.0,0.76,0.26,0.11,0.11,27.0,17.0,6235,5985,2114,918,894,0.731
svL,1.03,198.3,0.98,0.73,127.8,0.68,0.42,0.08,0.09,21.0,19.0,3538,3625,2188,421,451,0.699
al0rante,1.03,239.2,1.11,0.68,152.9,0.85,0.18,0.15,0.14,38.0,16.0,2364,2125,490,409,395,0.761
