Player,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
"FengF
TE",235,,265.1,1.27,,,0.93,0.22,,,,,,31,219,172,52,0,0
"Kai
TE",235,,210.2,1.13,,,0.77,0.19,,,,,,23,181,160,45,0,0
"YiHao
KONE",379,,200.2,1.15,,,0.72,0.39,,,,,,25,274,238,148,0,0
"BerLIN
FPX",351,,203.1,1.03,,,0.70,0.39,,,,,,26,244,236,138,0,0
"Life
ASE",388,,219.3,1.02,,,0.77,0.15,,,,,,24,298,291,58,0,0
"yoman
RA",379,,178.6,0.93,,,0.61,0.39,,,,,,21,232,249,148,0,0
Viva,379,,214.3,1.17,,,0.75,0.24,,,,,,23,283,241,90,0,0
"Autumn
FPX",351,,241.4,1.15,,,0.84,0.16,,,,,,30,295,256,55,0,0
MarT1n,379,,194.6,1.10,,,0.70,0.20,,,,,,24,267,242,74,0,0
"vo0kashu
DRG",372,,212.4,1.10,,,0.76,0.22,,,,,,23,282,257,83,0,0
"TvirusLuke
DRG",372,,226.4,0.93,,,0.79,0.16,,,,,,30,293,316,60,0,0
Lysoar,351,,184.5,1.05,,,0.66,0.20,,,,,,28,233,222,71,0,0
"Dingwei
DRG",284,,174.4,0.80,,,0.60,0.30,,,,,,23,171,213,84,0,0
