Player,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
"qw1
FF",216,1.05,215.7,1.16,68%,137.8,0.79,0.11,0.13,0.11,30%,5%,1/21,19,171,148,23,27,23
"JohnOlsen
FS",514,1.05,230.9,1.11,71%,152.9,0.81,0.16,0.16,0.15,28%,14%,7/50,29,414,374,83,83,76
"ray4c
GRD",209,1.05,269.5,1.26,77%,163.1,0.94,0.20,0.17,0.16,11%,7%,1/14,35,197,156,41,36,34
"ALIVE
ACE",367,1.05,217.5,1.10,71%,136.5,0.77,0.13,0.19,0.17,23%,28%,5/18,24,284,258,47,68,63
"Famsii
UCAM",276,1.05,243.9,1.12,67%,158.6,0.87,0.13,0.16,0.16,33%,14%,2/14,28,239,214,35,43,45
"monSi
Blinn",735,1.05,193.9,1.03,75%,127.3,0.68,0.31,0.08,0.08,28%,15%,13/86,24,499,483,226,57,60
"ralle
MZP",272,1.05,211.8,1.10,71%,143.0,0.81,0.35,0.08,0.06,40%,17%,7/42,28,220,200,95,22,17
"thief
MxS",222,1.05,194.7,1.11,77%,131.8,0.72,0.39,0.06,0.03,25%,16%,4/25,28,159,143,86,14,7
"brk
SAW",274,1.05,226.3,1.08,69%,144.0,0.79,0.19,0.26,0.20,18%,31%,4/13,28,216,200,51,72,55
"Kadoom
SPE",385,1.05,247.9,1.16,74%,161.5,0.89,0.18,0.22,0.16,25%,10%,2/21,37,343,295,69,83,63
"JitBoyS
TLN",257,1.05,216.2,1.14,70%,147.5,0.78,0.16,0.07,0.07,36%,17%,7/42,30,201,177,42,18,17
"snirot
NSIC",295,1.05,184.3,0.97,77%,119.6,0.65,0.43,0.07,0.06,33%,13%,4/32,24,193,198,127,20,19
"penny
G2",328,1.05,223.3,1.02,69%,144.7,0.76,0.20,0.14,0.14,22%,13%,3/24,26,249,243,66,45,47
"yiinel
ZMM.B",383,1.04,201.6,1.02,75%,128.8,0.70,0.38,0.09,0.09,33%,10%,5/49,22,267,261,145,33,36
"Mistic
TL",203,1.04,193.1,1.07,74%,128.2,0.72,0.36,0.08,0.07,30%,19%,4/21,24,146,136,74,16,15
"Addicted
SAW",274,1.04,181.7,1.09,73%,120.8,0.68,0.27,0.07,0.05,30%,11%,3/28,26,185,170,75,19,14
"ScrewFace
EX-E",469,1.04,209.9,0.96,71%,140.0,0.69,0.32,0.12,0.08,24%,10%,6/62,21,323,336,151,56,36
"mikshak
VLYN",222,1.04,188.5,0.99,73%,122.9,0.68,0.35,0.09,0.07,33%,17%,7/42,17,150,151,77,19,16
"Kanpeki
SEN",206,1.04,201.2,1.01,72%,130.6,0.70,0.35,0.06,0.08,21%,20%,7/35,21,144,143,73,12,17
"mikalulba
ARF",239,1.04,211.0,1.04,69%,142.5,0.73,0.28,0.05,0.06,23%,18%,7/40,24,174,167,67,11,14
"andrew
RESO",218,1.04,221.1,1.04,73%,143.4,0.77,0.21,0.14,0.13,26%,16%,3/19,22,168,162,46,31,28
"clear
DSG",312,1.04,252.8,1.19,72%,160.4,0.90,0.09,0.24,0.16,36%,14%,3/21,34,281,236,29,75,49
"SemberN
AW3",276,1.04,200.8,1.05,67%,133.8,0.72,0.22,0.08,0.08,26%,17%,5/29,24,200,191,60,22,22
"shirazi
SMG.GC",201,1.04,190.6,1.02,73%,131.0,0.66,0.35,0.09,0.08,22%,24%,5/21,18,132,129,71,18,16
"d1msumboi
YFP",225,1.04,182.0,0.99,70%,122.0,0.62,0.18,0.07,0.08,35%,9%,3/34,18,139,140,40,16,17
"Sacy
SEN",236,1.04,191.2,1.08,75%,125.6,0.71,0.37,0.05,0.06,31%,27%,6/22,24,167,154,88,12,13
"brawk
MxS",222,1.04,179.1,0.96,73%,122.0,0.62,0.36,0.09,0.07,22%,16%,6/38,23,137,142,79,21,15
"PTC
FS",514,1.04,192.8,1.01,73%,125.3,0.66,0.39,0.08,0.08,28%,17%,11/65,24,341,338,201,39,43
"bstrdd
TL",351,1.04,238.4,1.13,71%,157.6,0.85,0.13,0.19,0.16,29%,11%,2/19,27,299,264,47,68,56
"DarkLight
Cliq",246,1.03,204.6,1.05,74%,137.6,0.74,0.33,0.06,0.09,27%,29%,8/28,24,183,174,80,14,23
"ri4d
BLX",227,1.03,193.1,0.95,70%,125.6,0.69,0.42,0.12,0.09,33%,6%,1/17,24,156,164,96,27,21
"Nanners
ZMM.B",383,1.03,206.3,1.03,69%,136.0,0.70,0.25,0.09,0.13,28%,23%,10/43,26,268,260,97,35,49
"Okeanos
AA",474,1.03,248.6,1.09,66%,159.3,0.85,0.17,0.21,0.19,29%,4%,1/27,32,404,371,81,101,92
"mikeE
Squa",452,1.03,200.8,1.00,70%,134.0,0.70,0.24,0.11,0.07,31%,12%,7/57,25,318,318,107,48,31
"gMd
MID",341,1.03,189.1,0.92,74%,117.7,0.65,0.49,0.06,0.06,35%,19%,8/43,25,223,243,166,20,21
"S1ay3rr
SFU",242,1.03,241.5,1.04,73%,157.5,0.82,0.19,0.22,0.14,16%,11%,2/18,29,199,191,45,54,34
"bdog
TTR",281,1.03,228.6,1.13,73%,148.6,0.82,0.16,0.17,0.16,27%,25%,6/24,27,231,205,46,47,45
"Tim
ZMM.B",383,1.03,193.7,0.99,76%,125.5,0.67,0.48,0.07,0.08,23%,16%,9/58,22,255,258,182,28,29
"qq
NKT",354,1.03,220.4,1.00,71%,144.8,0.74,0.24,0.16,0.14,21%,20%,7/35,23,262,262,86,55,51
"atlas
Merc",203,1.03,213.8,1.10,75%,135.0,0.78,0.26,0.08,0.08,26%,19%,7/37,27,159,145,52,17,16
"cgrs
MiTH",385,1.03,208.8,1.09,74%,143.2,0.73,0.25,0.07,0.06,26%,15%,8/52,28,282,258,98,27,24
"asta
2002",252,1.03,177.2,0.95,75%,117.9,0.62,0.28,0.07,0.04,20%,16%,6/38,20,156,164,70,17,11
"KHS
RESO",393,1.03,228.5,1.02,73%,150.8,0.79,0.35,0.14,0.09,26%,6%,2/35,26,309,302,139,56,36
"infiltrator
WU",324,1.02,248.8,1.11,71%,161.6,0.85,0.18,0.24,0.22,25%,16%,3/19,33,276,248,58,77,71
"Momiji
FISH.U",297,1.02,211.9,1.05,71%,143.4,0.75,0.29,0.07,0.10,27%,20%,10/51,24,222,211,87,20,30
"DaviH
CGN",442,1.02,189.1,1.03,71%,128.1,0.68,0.26,0.06,0.06,25%,7%,6/83,25,299,291,117,28,26
"Matrixx
OVA",329,1.02,201.8,1.05,70%,134.0,0.73,0.30,0.07,0.10,28%,25%,8/32,24,239,227,99,23,33
"Kushay
SaD",332,1.02,201.7,1.08,75%,129.2,0.74,0.33,0.11,0.10,30%,17%,7/41,25,246,228,111,35,34
"daiki
TL",351,1.02,198.1,0.98,75%,124.7,0.69,0.41,0.08,0.06,26%,21%,8/38,24,242,248,144,29,21
"f0rsakeN
PRX",226,1.02,200.4,1.02,73%,133.7,0.72,0.36,0.08,0.13,30%,27%,3/11,23,162,159,82,17,29
"Smoggy
EDG",457,1.02,213.1,1.14,68%,138.1,0.77,0.23,0.10,0.09,28%,,0/21,29,353,311,105,15,13
"Br0die
ACE",367,1.02,172.6,1.00,72%,115.6,0.61,0.32,0.09,0.07,27%,3%,1/40,24,223,224,118,32,25
"VYX
Fish",436,1.02,191.2,1.02,73%,131.7,0.69,0.26,0.05,0.05,30%,7%,5/70,30,299,292,113,22,22
"evv
SNG",501,1.01,191.0,1.01,74%,124.3,0.69,0.33,0.05,0.07,35%,18%,11/61,23,345,342,164,24,35
"iluri
MOUZ",280,1.01,182.5,0.93,74%,118.1,0.65,0.38,0.06,0.08,31%,26%,9/34,20,181,195,105,17,22
"bENITA
LIL",428,1.01,191.7,0.97,71%,127.5,0.66,0.35,0.06,0.10,26%,24%,11/46,25,282,290,148,25,41
"ShoT_UP
TOR",475,1.01,185.6,0.95,75%,116.7,0.66,0.45,0.06,0.05,28%,12%,9/74,25,312,330,212,28,26
"Vince
CGN",442,1.01,196.7,1.02,73%,126.9,0.69,0.32,0.07,0.06,23%,22%,10/45,21,303,297,142,29,25
"panday
SNG",653,1.01,207.2,1.03,71%,133.3,0.74,0.25,0.11,0.08,33%,18%,11/61,29,482,468,164,72,55
"MaximN
BLX",246,1.01,178.3,0.95,79%,117.9,0.62,0.49,0.05,0.05,27%,21%,7/33,19,153,161,121,13,12
"demon
Grou",229,1.01,221.2,1.02,73%,140.5,0.77,0.28,0.14,0.15,21%,11%,1/9,25,176,172,63,31,35
"elllement
CGN",442,1.01,231.2,1.08,68%,152.5,0.81,0.18,0.17,0.17,25%,12%,4/34,28,358,331,79,75,76
"contii
SHFT",263,1.01,196.5,1.06,76%,131.0,0.68,0.29,0.06,0.06,17%,21%,7/34,23,180,170,75,17,17
"Jerk
WU",286,1.01,199.4,1.02,73%,134.3,0.71,0.27,0.05,0.08,19%,23%,10/43,24,202,198,77,14,22
"no1syboy
ARF",239,1.01,202.3,1.02,72%,135.0,0.73,0.21,0.06,0.08,26%,11%,4/36,21,175,171,51,15,19
"Kntz
MiTH",385,1.01,188.9,1.06,77%,123.5,0.68,0.36,0.04,0.06,27%,14%,11/78,24,262,248,139,15,22
"Add3r
TTR",301,1.01,198.1,1.07,72%,134.5,0.71,0.27,0.08,0.06,33%,15%,5/33,21,213,200,80,24,19
"mindfreak
PRX",212,1.01,186.6,0.92,71%,123.9,0.64,0.36,0.04,0.05,29%,14%,6/44,20,135,147,76,8,11
"ban
TLN",257,1.00,196.0,0.93,74%,130.3,0.67,0.40,0.12,0.07,29%,14%,3/21,24,173,187,102,30,17
"Enzo
TL",203,1.00,176.9,0.89,79%,116.8,0.57,0.39,0.07,0.05,14%,20%,5/25,18,115,129,79,14,10
"Harshhh
RGE",263,1.00,197.8,0.97,74%,133.1,0.67,0.36,0.08,0.05,23%,14%,5/36,20,177,183,95,21,13
"bunnybee
SNG",501,1.00,234.8,1.05,67%,147.6,0.80,0.19,0.23,0.21,30%,26%,5/19,26,399,380,97,114,103
"Demiurge
MZP",272,1.00,232.9,1.00,71%,155.1,0.78,0.22,0.22,0.21,22%,,0/14,26,213,213,61,60,56
"deejay
2SHE",222,1.00,195.8,1.03,67%,133.6,0.74,0.14,0.14,0.12,24%,14%,4/29,20,165,160,31,30,27
"unstable
DSG",563,1.00,221.1,1.05,72%,143.2,0.79,0.19,0.17,0.14,31%,9%,4/47,30,446,426,109,97,80
"Instxnct
Grif",408,1.00,223.3,1.02,68%,148.9,0.76,0.22,0.17,0.17,23%,18%,6/33,25,312,305,88,69,71
"lenne
TLN",257,1.00,206.5,0.95,74%,133.2,0.69,0.43,0.08,0.07,23%,11%,4/35,22,178,188,110,21,17
"Crws
TLN",257,1.00,183.3,0.99,73%,121.3,0.68,0.35,0.05,0.06,28%,17%,6/36,23,175,177,91,13,16
"VenTT
HOWL",239,0.99,188.5,0.98,76%,124.1,0.68,0.45,0.10,0.08,35%,12%,3/26,25,162,165,107,23,18
"Crewen
HOWL",239,0.99,194.7,1.01,72%,132.6,0.71,0.23,0.13,0.10,27%,15%,3/20,27,169,167,55,30,25
"dazzLe
TTR",281,0.99,191.5,1.01,73%,124.9,0.66,0.41,0.07,0.12,17%,32%,7/22,21,185,184,115,19,33
"sh1va
IW",439,0.99,203.1,1.06,68%,137.1,0.74,0.11,0.06,0.09,31%,9%,6/65,33,324,307,48,26,41
"Joojina
TL",351,0.99,194.3,0.98,70%,127.1,0.70,0.36,0.07,0.09,27%,19%,9/47,23,244,249,127,23,31
"DEATHMAKER
TR",306,0.99,195.1,1.02,67%,136.3,0.71,0.17,0.11,0.13,29%,23%,9/39,31,218,214,52,34,39
"Papicam
Tedw",222,0.99,203.3,1.02,70%,135.0,0.71,0.19,0.10,0.11,25%,7%,2/29,28,157,154,42,23,24
"Crunchy
MU",273,0.99,214.2,0.99,68%,134.4,0.76,0.33,0.07,0.11,29%,26%,8/31,24,208,210,90,20,30
"Ginilson
2002",252,0.99,188.5,0.93,76%,119.6,0.66,0.44,0.08,0.13,26%,13%,2/15,20,166,178,112,21,34
"avery
SNG",501,0.99,186.3,0.92,72%,124.8,0.64,0.39,0.07,0.06,21%,19%,13/67,27,320,346,195,36,28
"PROFEK
GN",377,0.99,196.3,0.97,72%,133.6,0.71,0.32,0.10,0.09,31%,11%,6/56,28,266,274,119,37,33
"jwordn
TM",360,0.99,204.9,0.95,71%,132.3,0.72,0.40,0.09,0.09,33%,15%,5/34,24,258,271,144,33,33
"Karra
COL",691,0.99,198.7,0.94,74%,131.8,0.70,0.44,0.09,0.08,36%,16%,11/70,25,481,509,306,63,58
"req
BTR",281,0.99,211.9,1.03,67%,142.0,0.76,0.17,0.11,0.11,36%,,0/23,26,213,206,49,31,31
"Teerapong
NKT",354,0.99,204.1,0.97,70%,137.3,0.70,0.29,0.13,0.11,24%,21%,5/24,22,249,256,102,45,40
"DisisJohn
OVA",329,0.99,215.8,1.05,68%,136.1,0.79,0.12,0.22,0.14,22%,17%,4/23,26,260,247,38,71,45
gattizada,214,0.99,196.7,0.99,75%,131.8,0.68,0.27,0.05,0.05,28%,17%,5/29,22,146,148,58,10,11
"lazylion
DSG",296,0.98,209.2,0.99,70%,135.0,0.73,0.27,0.13,0.15,23%,15%,2/13,22,217,219,80,39,44
"LBY
XIA",316,0.98,192.1,1.01,73%,127.5,0.71,0.29,0.08,0.08,40%,7%,3/45,27,224,222,93,25,24
"moobs
WU",263,0.98,209.7,1.02,70%,132.3,0.75,0.23,0.09,0.09,36%,19%,5/27,26,197,193,60,24,24
"Shondex
Fish",264,0.98,205.7,0.96,71%,131.7,0.71,0.19,0.09,0.05,35%,9%,3/32,24,187,195,49,25,14
"B3ASTM0D3
MOUZ",344,0.98,181.7,0.91,72%,119.8,0.63,0.32,0.07,0.06,38%,13%,6/45,24,215,235,110,25,21
