Player,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
"Fit1nho
GIA",161,1.04,227.3,1.02,76%,155.8,0.81,0.19,0.19,0.15,22%,22%,2/9,34,130,127,31,31,24
"DaveeyS
KRÜ",90,1.03,182.3,1.12,72%,130.2,0.64,0.17,0.07,0.04,23%,7%,1/14,21,58,52,15,6,4
"tuyz
LOUD",515,1.02,163.1,0.96,75%,107.4,0.59,0.48,0.05,0.06,29%,19%,14/73,23,304,317,247,26,33
"Shao
NAVI",204,1.02,168.4,0.98,72%,115.1,0.62,0.34,0.06,0.05,32%,22%,8/36,24,126,129,70,12,11
"AtaKaptan
FUT",216,1.01,196.7,0.88,70%,128.5,0.63,0.54,0.09,0.12,30%,14%,3/22,20,136,154,116,19,25
"saadhak
LOUD",515,1.01,185.7,0.87,73%,120.1,0.60,0.49,0.10,0.12,19%,11%,5/47,21,310,355,252,53,64
"Zest
DRX",283,1.00,200.9,0.98,67%,133.9,0.70,0.32,0.10,0.11,35%,21%,7/33,26,197,201,91,28,30
"mindfreak
PRX",358,1.00,164.7,0.97,72%,110.4,0.60,0.37,0.04,0.05,30%,20%,11/55,23,214,220,132,13,19
"f0rsakeN
PRX",358,1.00,205.1,1.00,71%,139.5,0.72,0.34,0.10,0.12,26%,6%,2/36,30,256,255,121,37,42
"ZmjjKK
EDG",358,0.99,226.4,1.05,65%,145.1,0.80,0.18,0.14,0.17,18%,13%,4/30,27,286,273,66,50,62
"Jinggg
PRX",358,0.99,234.1,1.02,72%,157.0,0.80,0.26,0.16,0.15,22%,6%,1/17,24,285,279,92,56,55
"BuZz
DRX",283,0.99,228.1,1.02,71%,146.7,0.78,0.19,0.21,0.19,22%,8%,1/13,27,221,216,54,60,55
"Chronicle
FNC",270,0.98,169.1,0.89,72%,113.1,0.58,0.43,0.07,0.05,23%,,0/18,17,156,176,116,20,14
"nAts
TL",92,0.98,211.3,1.09,76%,146.6,0.76,0.15,0.11,0.10,28%,,0/14,34,70,64,14,10,9
"qRaxs
FUT",216,0.98,192.9,0.94,72%,130.0,0.67,0.42,0.05,0.06,31%,8%,2/24,20,145,155,91,11,13
"Boaster
FNC",270,0.98,177.6,0.90,72%,110.2,0.60,0.42,0.10,0.06,23%,39%,11/28,19,163,182,114,28,16
"rhyme
GIA",161,0.97,174.0,0.83,74%,113.9,0.58,0.54,0.04,0.08,32%,11%,2/18,20,94,113,87,6,13
"crashies
NRG",130,0.97,191.8,1.01,73%,123.2,0.69,0.34,0.03,0.05,29%,18%,3/17,20,90,89,44,3,5
"nobody
EDG",358,0.97,198.3,0.93,72%,137.2,0.69,0.33,0.10,0.14,30%,18%,7/39,27,248,266,117,36,49
"MOJJ
FUT",216,0.97,192.8,0.93,67%,129.7,0.65,0.28,0.13,0.12,30%,20%,7/35,22,141,152,60,28,25
"Munchkin
T1",129,0.96,211.7,0.93,64%,139.7,0.70,0.22,0.12,0.12,24%,8%,2/24,17,90,97,29,16,15
"stax
DRX",283,0.95,175.9,0.92,68%,111.3,0.64,0.36,0.05,0.07,33%,17%,5/30,27,182,198,101,14,21
"xeta
T1",129,0.95,187.7,0.94,71%,120.7,0.64,0.26,0.05,0.10,24%,19%,3/16,17,82,87,34,7,13
"Smoggy
EDG",358,0.94,201.0,0.98,69%,134.8,0.73,0.22,0.09,0.09,30%,8%,3/40,25,261,265,77,34,34
"Zyppan
NAVI",204,0.93,198.3,0.88,69%,138.0,0.67,0.29,0.11,0.14,27%,15%,2/13,21,136,154,59,22,29
"Boostio
EG",459,0.93,187.7,0.87,70%,128.7,0.63,0.26,0.11,0.11,23%,10%,4/41,26,291,335,119,51,52
"Dep
ZETA",79,0.93,253.7,1.08,61%,156.3,0.89,0.08,0.12,0.08,28%,,0/5,29,70,65,6,6,4
"Lysoar
FPX",85,0.92,208.5,0.95,72%,133.8,0.71,0.16,0.07,0.12,31%,,0/8,18,60,63,14,6,10
"FiNESSE
NRG",130,0.91,181.4,0.72,74%,122.5,0.52,0.41,0.10,0.10,16%,10%,1/10,16,67,93,53,10,10
"Biank
BLG",237,0.90,188.5,0.89,71%,128.5,0.65,0.36,0.07,0.09,22%,16%,4/25,25,155,174,85,16,21
"Knight
BLG",237,0.90,188.8,0.91,70%,123.1,0.66,0.32,0.06,0.13,28%,13%,4/31,19,157,172,76,14,30
"Haodong
EDG",358,0.89,168.4,0.83,74%,107.1,0.59,0.47,0.05,0.09,30%,18%,6/34,22,212,254,167,19,33
"Yuicaw
FPX",85,0.89,206.8,0.87,66%,129.1,0.69,0.15,0.19,0.16,29%,,0/6,18,59,68,13,16,14
"Rb
DRX",283,0.89,162.8,0.85,65%,113.5,0.58,0.16,0.08,0.08,23%,21%,12/57,23,163,191,45,23,24
