Player,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
"crow
ZETA",711,0.86,157.1,0.76,72%,105.0,0.53,0.42,0.05,0.06,25%,11%,9/83,23,376,492,301,37,44
"TENNN
ZETA",711,0.86,194.8,0.88,70%,128.4,0.66,0.18,0.13,0.16,21%,13%,9/67,31,471,536,129,87,111
"ANGE1
NAVI",1003,0.86,175.7,0.78,70%,114.2,0.60,0.33,0.12,0.13,29%,14%,8/58,24,600,766,331,125,128
"jzz
MIBR",441,0.86,181.8,0.83,69%,116.9,0.63,0.31,0.10,0.12,28%,9%,4/47,30,278,335,136,43,55
"rin
Toe",585,0.82,157.6,0.81,66%,91.9,0.57,0.36,0.05,0.07,23%,8%,2/24,23,334,410,212,12,17
"murizzz
RETA",441,0.81,167.9,0.82,65%,114.9,0.60,0.33,0.06,0.13,25%,11%,5/44,24,265,324,145,28,59
"BONECOLD
VIT",417,0.81,161.7,0.72,63%,104.9,0.55,0.33,0.08,0.12,29%,22%,9/41,21,228,318,138,35,50
"nizhaoTZH
FPX",425,0.76,166.6,0.85,66%,95.2,0.59,0.41,0.06,0.07,37%,6%,1/16,19,251,295,173,5,6
"koldamenta
KOI",585,0.73,121.9,0.55,63%,79.7,0.39,0.37,0.04,0.10,22%,13%,8/61,16,231,421,215,21,60
"BerLIN
FPX",425,0.71,196.0,0.90,65%,106.1,0.65,0.40,0.12,0.13,37%,,0/7,25,278,308,171,10,11
